Search terms report
11 November 2025 - 11 November 2025
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
colourful christmas door wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath for fireplace,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
wreath with red berries,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
high end christmas decorations,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas reefs,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,8.41,8.41,Search,0.00%,0.00,0.00
wreath christmas,Exact match (close variant),Added,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
bradford exchange christmas decorations,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
Total: Search terms,,,,,11,55,20.00%,AUD,6.33,69.63,,0.00%,0.00,0.00
Total: Other search terms,,,,,3,23,13.04%,AUD,4.43,13.28,,0.00%,0.00,0.00
Total: Account,,,,,14,78,17.95%,AUD,5.92,82.91,,0.00%,0.00,0.00
Total: Search,,,,,14,78,17.95%,AUD,5.92,82.91,Search,0.00%,0.00,0.00
