Search keyword report
4 November 2025 - 5 November 2025
Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Conversions,Currency code,Cost / conv.,Final URL,Impr.,Clicks,CTR,Cost,Conv. rate
Paused,"""luxury handcrafted christmas wreath""",Phrase Match,Christmas Products,Paused,Paused; rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""premium christmas centrepieces""",Phrase Match,Christmas Products,Paused,Paused; rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Enabled,[christmas wreath online],Exact Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,[luxury door wreath],Exact Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,[luxury christmas wreath australia],Exact Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,[buy luxury christmas wreath],Exact Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,[buy luxury wreath],Exact Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""designer luxury christmas wreath""",Phrase Match,Christmas Products,Paused,Paused; rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,holiday decor,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Enabled,"""holiday christmas decorations""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,[luxury christmas wreaths],Exact Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,christmas wreath australia,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,christmas decor reindeer,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,"""designer christmas wreaths""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,christmas wreath with lights,Broad Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Enabled,"""expensive christmas decor""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""luxury designer christmas wreath""",Phrase Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""bespoke christmas wreath australia""",Phrase Match,Christmas Products,Paused,Paused; rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""designer christmas centrepiece""",Phrase Match,Christmas Products,Paused,Paused; rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,christmas table decorations,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Enabled,"""luxury christmas wreaths""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,[wreath for front door],Exact Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""premium christmas wreath""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,[luxury christmas wreath online],Exact Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""handmade christmas wreaths""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,6,0,0.00%,0.00,0.00%
Enabled,"""luxury christmas decor""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,20,3,15.00%,13.41,0.00%
Paused,christmas gifts,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,christmas online shopping,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,seasonal decor,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Enabled,"""premium christmas decorations""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,luxury christmas decorations australia,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,"""bespoke christmas wreath""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,xmas gifts,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,festive decorations,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,holiday gift shopping,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,christmas centrepiece,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,[luxury christmas wreath delivery],Exact Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""luxury handmade christmas wreath""",Phrase Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""premium luxury christmas wreath""",Phrase Match,Christmas Products,Paused,Paused; rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""christmas door wreaths""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""luxury christmas wreaths australia""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""premium christmas wreaths australia""",Phrase Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""designer christmas candle holder""",Phrase Match,Christmas Products,Paused,Paused; rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,"""christmas gifts""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,christmas ideas,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,wreath christmas,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,xmas gift ideas,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,christmas flower arrangements,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,"""christmas wreath delivery""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""christmas decorations australia""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,"""designer christmas decor""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Enabled,"""stylish christmas wreaths""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""luxury christmas collection""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,[luxury christmas door wreath],Exact Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""high end christmas wreath""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""custom christmas wreath australia""",Phrase Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
 --,,Total: All but removed keywords, --, --,,0.00,AUD,0.00,,51,6,11.76%,22.00,0.00%
,,Total: Keywords in your campaign,,,,0.00,AUD,0.00,,51,6,11.76%,22.00,0.00%
,,Total: Your keywords.,,,,0.00,AUD,0.00,,51,6,11.76%,22.00,0.00%
,,Total: AI Max expanded matches,,,,0.00,AUD,0.00,,0,0, --,0.00,0.00%
,,Total: AI Max landing page matches,,,,0.00,AUD,0.00,,0,0, --,0.00,0.00%
,,Total: URL inclusions in your campaign,,,,0.00,AUD,0.00,,0,0, --,0.00,0.00%
,,Total: Search keywords on display network,,,,0.00,AUD,0.00,,0,0, --,0.00,0.00%
,,Total: Campaign,,,,0.00,AUD,0.00,,51,6,11.76%,22.00,0.00%
