Search keyword report
18 November 2025 - 18 November 2025
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Paused,"""luxury artificial christmas wreaths""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""custom christmas wreath australia""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""luxury handcrafted christmas wreath""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[christmas door wreaths],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,3.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[premium luxury christmas wreath],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""luxury christmas door wreath""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,3.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""stylish christmas wreaths""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Eligible,,AUD,7.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,22,3,13.64%,7.46,22.39,3,0.00%,0.00,7.46,0.00
Paused,christmas online shopping,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,holiday gift shopping,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""eucalyptus christmas wreath""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""luxury christmas centrepiece""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,4.50,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,xmas gifts,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas table centrepiece,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""designer christmas decor""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,3.50,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""handcrafted christmas centrepiece""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,holiday decor,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas wreath with lights,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.35,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""designer christmas wreaths australia""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[luxury door wreath],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[buy luxury wreath],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[luxury christmas wreath delivery],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas decorations,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,luxury christmas decorations australia,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""luxury christmas centrepieces""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,4.75,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""designer christmas centrepiece""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,4.25,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""designer christmas wreaths""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,1.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,festive decorations,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""premium christmas centrepieces""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,xmas decorations,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,xmas gift ideas,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[christmas wreath online],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""premium christmas wreath""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""xmas gifts""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""custom christmas decorations""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,3.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""holiday christmas decorations""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""christmas decorations australia""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[luxury christmas wreath australia],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,2.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas items,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,festive wreaths,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""designer door wreaths christmas""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,5.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""christmas gifts""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[luxury christmas door wreath],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""bespoke christmas wreath""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""bespoke christmas wreath australia""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,3.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""christmas wreaths australia""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,1.20,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas table decorations,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""handcrafted christmas decorations""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,3.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[wreath for front door],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""designer christmas door wreath""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,0.65,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""handcrafted christmas wreath australia""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,3.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""luxury christmas decor""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,7.50,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""expensive christmas decor""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,4.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""high end christmas wreath""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,5.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""designer luxury christmas wreath""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas gifts,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""christmas wreath delivery""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,2.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""luxury christmas wreaths""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,12.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,seasonal decor,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""bespoke christmas centrepiece australia""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,3.75,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,xmas shopping,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas flower arrangements,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""luxury christmas wreath""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,4.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[luxury christmas wreath online],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""xmas wreaths for front door""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,0.80,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""luxury christmas candle holder""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,4.75,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas wreath australia,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[luxury wreaths],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.75,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[buy luxury christmas wreath],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""luxury handmade christmas wreath""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,wreath christmas,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""handmade christmas wreaths""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,3.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""bespoke christmas decorations""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,3.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""luxury christmas collection""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""luxury designer christmas wreath""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas centrepiece,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.35,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""bespoke christmas wreaths""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,6.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""designer christmas candle holder""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,4.25,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""christmas door wreaths""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""premium christmas wreaths australia""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,5.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas table,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[designer luxury christmas wreath],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[luxury christmas wreaths],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,2.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""luxury christmas wreaths australia""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
 --,,Total: All but removed keywords, --, --, --,,AUD, --,,22,3,13.64%,7.46,22.39,3,0.00%,0.00,7.46,0.00
,,Total: Keywords in your account,,,,,AUD,,,22,3,13.64%,7.46,22.39,3,0.00%,0.00,7.46,0.00
,,Total: Your keywords.,,,,,AUD,,,22,3,13.64%,7.46,22.39,3,0.00%,0.00,7.46,0.00
,,Total: AI Max expanded matches,,,,,AUD,,,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
,,Total: AI Max landing page matches,,,,,AUD,,,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
,,Total: URL inclusions in your account,,,,,AUD,,,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
,,Total: Search keywords on display network,,,,,AUD,,,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
,,Total: Account,,,,,AUD,,,22,3,13.64%,7.46,22.39,3,0.00%,0.00,7.46,0.00
,,Total: Search,,,,,AUD,,,22,3,13.64%,7.46,22.39,3,0.00%,0.00,7.46,0.00
,,Total: Smart,,,,,AUD,,,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
