Search keyword report
1 September 2025 - 27 October 2025
Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Mobile final URL,Impr.,Clicks,CTR,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,"""high end christmas wreath""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,39,6,15.38%,8.88,0.00%,0.00,0.00
Paused,christmas decor reindeer,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,seasonal decor,Broad Match,Christmas Products,Paused,Paused,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""designer christmas door wreath""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,0.65,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas centrepiece,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.35,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,christmas table centrepiece,Broad Match,Christmas Products,Limited,below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,,3,0,0.00%,0.00,0.00%,0.00,0.00
Paused,"""xmas gifts""",Phrase Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas table,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,,0,0, --,0.00,0.00%,0.00,0.00
Paused,xmas gift ideas,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,festive wreaths,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury artificial christmas wreaths""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[buy luxury christmas wreath],Exact Match,Christmas Products,Not eligible,rarely served,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""custom christmas wreath australia""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Paused,luxury christmas decorations australia,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-collection,,13,3,23.08%,2.54,0.00%,0.00,0.00
Enabled,christmas wreath,Broad Match,Christmas Products,Limited,below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,277,35,12.64%,29.04,0.00%,0.00,0.00
Paused,christmas gifts,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,1,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,"""christmas door wreaths""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,17,1,5.88%,0.60,0.00%,0.00,0.00
Enabled,"""eucalyptus christmas wreath""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,christmas wreath with lights,Broad Match,Christmas Products,Limited,below first page bid,AUD,0.35,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury handmade christmas wreath""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Paused,holiday decor,Broad Match,Christmas Products,Paused,Paused,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,4,0,0.00%,0.00,0.00%,0.00,0.00
Paused,christmas decorations,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,844,100,11.85%,73.21,0.00%,0.00,0.00
Enabled,[buy christmas wreath],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.10,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,259,34,13.13%,35.41,0.00%,0.00,0.00
Enabled,[luxury christmas wreath australia],Exact Match,Christmas Products,Eligible,,AUD,2.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,35,12,34.29%,25.50,0.00%,0.00,0.00
Paused,"""christmas decorations australia""",Phrase Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury wreaths],Exact Match,Christmas Products,Limited,below first page bid,AUD,0.75,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,3,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,[christmas door wreaths],Exact Match,Christmas Products,Limited,below first page bid,AUD,0.70,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,4,1,25.00%,0.70,0.00%,0.00,0.00
Paused,holiday gift shopping,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury christmas wreath delivery],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""handmade christmas wreaths""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,0.65,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,15,1,6.67%,0.67,0.00%,0.00,0.00
Enabled,"""luxury christmas wreaths australia""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,0.80,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,3,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,"""christmas wreaths australia""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,98,15,15.31%,12.12,0.00%,0.00,0.00
Paused,xmas decorations,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,4,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,christmas table decorations,Broad Match,Christmas Products,Limited,below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,,8,3,37.50%,2.68,0.00%,0.00,0.00
Paused,christmas gift ideas,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,xmas shopping,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury designer christmas wreath""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas flower arrangements,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury christmas wreath""",Phrase Match,Christmas Products,Eligible,,AUD,3.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,13,5,38.46%,9.27,40.00%,2.00,4.64
Enabled,"""luxury christmas wreaths""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,14,3,21.43%,4.50,0.00%,0.00,0.00
Paused,wreath christmas,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""designer christmas wreaths""",Phrase Match,Christmas Products,Eligible,,AUD,1.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,81,16,19.75%,16.08,0.00%,0.00,0.00
Paused,christmas ideas,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""premium christmas wreath""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,0.65,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""premium christmas wreaths australia""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""christmas wreath delivery""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,63,9,14.29%,8.12,0.00%,0.00,0.00
Enabled,[luxury artificial christmas wreath],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,4,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,[premium luxury christmas wreath],Exact Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Paused,"""christmas gifts""",Phrase Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas items,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,festive decorations,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[designer luxury christmas wreath],Exact Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury christmas door wreath""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""designer christmas wreaths australia""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[christmas wreath online],Exact Match,Christmas Products,Eligible,,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury christmas wreaths],Exact Match,Christmas Products,Limited,below first page bid,AUD,0.80,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,8,1,12.50%,0.80,0.00%,0.00,0.00
Enabled,[luxury door wreath],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,3,2,66.67%,2.97,0.00%,0.00,0.00
Enabled,[wreath for front door],Exact Match,Christmas Products,Limited,below first page bid,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,5,1,20.00%,0.63,0.00%,0.00,0.00
Paused,christmas online shopping,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
,,Total: All but removed keywords,,,,AUD,,,,"4,012",545,13.58%,575.75,0.37%,2.00,287.88
,,Total: Keywords in your campaign,,,,AUD,,,,"33,084",948,2.87%,717.36,0.21%,2.00,358.68
,,Total: Your keywords.,,,,AUD,,,,"4,016",546,13.60%,576.94,0.37%,2.00,288.47
,,Total: AI Max expanded matches,,,,AUD,,,,0,0, --,0.00,0.00%,0.00,0.00
,,Total: AI Max landing page matches,,,,AUD,,,,0,0, --,0.00,0.00%,0.00,0.00
,,Total: URL inclusions in your campaign,,,,AUD,,,,0,0, --,0.00,0.00%,0.00,0.00
,,Total: Search keywords on display network,,,,AUD,,,,"29,068",402,1.38%,140.42,0.00%,0.00,0.00
,,Total: Campaign,,,,AUD,,,,"33,084",948,2.87%,717.36,0.21%,2.00,358.68
