Search keyword report
27 October 2025 - 27 October 2025
Keyword status,Keyword,Match type,Status,Status reasons,Currency code,Max. CPC,Final URL,Mobile final URL,Impr.,Clicks,CTR,Cost,Conv. rate,Conversions,Cost / conv.
Paused,christmas items,Broad Match,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury door wreath],Exact Match,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""premium christmas wreaths australia""",Phrase Match,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Paused,"""christmas gifts""",Phrase Match,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas ideas,Broad Match,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury christmas wreaths],Exact Match,Limited,below first page bid,AUD,0.80,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[christmas wreath online],Exact Match,Eligible,,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury christmas door wreath""",Phrase Match,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""premium christmas wreath""",Phrase Match,Limited,below first page bid,AUD,0.65,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[designer luxury christmas wreath],Exact Match,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[premium luxury christmas wreath],Exact Match,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""designer christmas wreaths australia""",Phrase Match,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,christmas wreath,Broad Match,Limited,below first page bid,AUD,0.80,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,1,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,[buy christmas wreath],Exact Match,Eligible,,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,17,1,5.88%,1.14,0.00%,0.00,0.00
Enabled,"""christmas door wreaths""",Phrase Match,Limited,below first page bid,AUD,1.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,14,1,7.14%,0.60,0.00%,0.00,0.00
Enabled,[luxury christmas wreath australia],Exact Match,Eligible,,AUD,2.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,3,1,33.33%,2.43,0.00%,0.00,0.00
Paused,christmas decorations,Broad Match,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Paused,holiday decor,Broad Match,Paused,Paused,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas table,Broad Match,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,,0,0, --,0.00,0.00%,0.00,0.00
Paused,festive wreaths,Broad Match,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,christmas table centrepiece,Broad Match,Limited,below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,,0,0, --,0.00,0.00%,0.00,0.00
Paused,"""christmas decorations australia""",Phrase Match,Paused,Paused; below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,christmas wreath with lights,Broad Match,Limited,below first page bid,AUD,0.35,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""eucalyptus christmas wreath""",Phrase Match,Limited,below first page bid,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[buy luxury christmas wreath],Exact Match,Not eligible,rarely served,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury artificial christmas wreaths""",Phrase Match,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury handmade christmas wreath""",Phrase Match,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas gifts,Broad Match,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,"""xmas gifts""",Phrase Match,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,xmas gift ideas,Broad Match,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,luxury christmas decorations australia,Broad Match,Paused,Paused; below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""custom christmas wreath australia""",Phrase Match,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
,,Total: All but removed keywords,,,AUD,,,,94,7,7.45%,13.57,0.00%,0.00,0.00
,,Total: Keywords in your ad group,,,AUD,,,,99,7,7.07%,13.57,0.00%,0.00,0.00
,,Total: Your keywords.,,,AUD,,,,94,7,7.45%,13.57,0.00%,0.00,0.00
,,Total: AI Max expanded matches,,,AUD,,,,0,0, --,0.00,0.00%,0.00,0.00
,,Total: AI Max landing page matches,,,AUD,,,,0,0, --,0.00,0.00%,0.00,0.00
,,Total: URL inclusions in your ad group,,,AUD,,,,0,0, --,0.00,0.00%,0.00,0.00
,,Total: Search keywords on display network,,,AUD,,,,5,0,0.00%,0.00,0.00%,0.00,0.00
,,Total: Ad group,,,AUD,,,,99,7,7.07%,13.57,0.00%,0.00,0.00
