Search terms report
9 November 2025 - 10 November 2025
Search term,Match type,Added/Excluded,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
royal doulton christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas bauble designs,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christopher radko decorations,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
traditional christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath,Exact match (close variant),Added,Christmas Products,5,18,27.78%,AUD,3.91,19.55,0.00%,0.00,0.00
australian christmas wreath,Phrase match (close variant),None,Christmas Products,0,2,0.00%,AUD,0,0.00,0.00%,0.00,0.00
ashdene christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
small plain christmas wreaths,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
vinterfint,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas reef,Phrase match (close variant),None,Christmas Products,2,2,100.00%,AUD,3.90,7.80,100.00%,2.00,3.90
modern christmas wreath,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas half wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
outdoor christmas wreath australia,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
green christmas door wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
jolly and joy christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
dachshund christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
luxury christmas decorations australia,Phrase match (close variant),Added,Christmas Products,4,2,200.00%,AUD,4.55,18.20,0.00%,0.00,0.00
christmas wreath white,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas decoration with pine cones,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
hand made christmas decorations,Exact match (close variant),None,Christmas Products,1,2,50.00%,AUD,2.98,2.98,0.00%,0.00,0.00
christmas wreaths australia,Phrase match (close variant),Added,Christmas Products,1,2,50.00%,AUD,3.82,3.82,0.00%,0.00,0.00
luxury christmas wreath australia,Phrase Match,Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas bauble company,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
prelit christmas wreath outdoor,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath for door,Exact match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.90,3.90,0.00%,0.00,0.00
robert gordon christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath for front door,Phrase match (close variant),None,Christmas Products,0,2,0.00%,AUD,0,0.00,0.00%,0.00,0.00
real flower christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
plug in christmas wreath,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.99,3.99,0.00%,0.00,0.00
xmas wreaths for front door,Exact Match,Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
aldi wreath christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas door wreath nearby,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas bauble wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
wreath martha stewart,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
giant christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
xmas wreath,Exact match (close variant),None,Christmas Products,0,2,0.00%,AUD,0,0.00,0.00%,0.00,0.00
classy christmas decorations,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
candle wreath christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
lanterns decorated for christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
xmas wreaths large,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.90,3.90,0.00%,0.00,0.00
wreath christmas,Exact match (close variant),Added,Christmas Products,0,3,0.00%,AUD,0,0.00,0.00%,0.00,0.00
australian made christmas decorations,Phrase match (close variant),None,Christmas Products,2,2,100.00%,AUD,3.01,6.02,0.00%,0.00,0.00
pinecone christmas decorations,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas door wreath with lights,Phrase match (close variant),None,Christmas Products,0,2,0.00%,AUD,0,0.00,0.00%,0.00,0.00
paper xmas decorations,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas door wreath,Exact match (close variant),None,Christmas Products,0,3,0.00%,AUD,0,0.00,0.00%,0.00,0.00
maroon christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
fancy christmas decorations,Exact match (close variant),None,Christmas Products,1,1,100.00%,AUD,4.32,4.32,0.00%,0.00,0.00
Total: Search terms,,,,33,139,23.74%,AUD,3.96,130.83,6.06%,2.00,65.42
Total: Other search terms,,,,9,88,10.23%,AUD,4.31,38.75,0.00%,0.00,0.00
Total: Campaign,,,,42,227,18.50%,AUD,4.04,169.58,4.76%,2.00,84.79
